,day,time,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
0,2018-01-19,15:00:00,7.71,7.73,7.73,7.7,1078.0,0.02,0.26,7.716,7.714,7.7355,635.2,596.84,578.67,0.05
1,2018-01-19,14:55:00,7.69,7.71,7.71,7.69,500.4,0.02,0.26,7.716,7.717,7.7365,471.48,544.24,533.12,0.02
2,2018-01-19,14:50:00,7.71,7.71,7.7,7.69,881.6,-0.01,-0.13,7.718,7.722,7.7385,449.2,569.1,528.95,0.04
3,2018-01-19,14:45:00,7.73,7.73,7.71,7.71,394.0,-0.02,-0.26,7.718,7.728,7.7405,394.48,506.74,499.57,0.02
4,2018-01-19,14:40:00,7.73,7.73,7.73,7.72,322.0,0.0,0.0,7.718,7.732,7.742,455.48,530.74,492.52,0.01
5,2018-01-19,14:35:00,7.71,7.74,7.73,7.71,259.4,0.02,0.26,7.712,7.736,7.7425,558.48,630.64,496.37,0.01
6,2018-01-19,14:30:00,7.7,7.72,7.72,7.7,389.0,0.02,0.26,7.718,7.739,7.743,617.0,641.8,509.9,0.02
7,2018-01-19,14:25:00,7.71,7.71,7.7,7.69,608.0,-0.01,-0.13,7.726,7.743,7.744,689.0,647.0,507.5,0.03
8,2018-01-19,14:20:00,7.7,7.74,7.71,7.7,699.0,0.01,0.13,7.738,7.749,7.7465,619.0,655.9,481.55,0.03
9,2018-01-19,14:15:00,7.76,7.76,7.7,7.7,837.0,-0.06,-0.77,7.746,7.753,7.748,606.0,612.9,476.08,0.04
10,2018-01-19,14:10:00,7.76,7.77,7.76,7.75,552.0,0.0,0.0,7.76,7.757,7.751,702.8,560.5,451.63,0.02
11,2018-01-19,14:05:00,7.76,7.78,7.76,7.75,749.0,0.0,0.0,7.76,7.756,7.751,666.6,522.0,453.08,0.03
12,2018-01-19,14:00:00,7.75,7.76,7.76,7.75,258.0,0.01,0.13,7.76,7.755,7.7515,605.0,488.8,434.68,0.01
13,2018-01-19,13:55:00,7.77,7.77,7.75,7.75,634.0,-0.02,-0.26,7.76,7.753,7.7525,692.8,492.4,448.73,0.03
14,2018-01-19,13:50:00,7.76,7.79,7.77,7.76,1321.0,0.01,0.13,7.76,7.752,7.7545,619.8,454.3,434.33,0.06
15,2018-01-19,13:45:00,7.76,7.77,7.76,7.76,371.0,0.0,0.0,7.754,7.749,7.7555,418.2,362.1,418.93,0.02
16,2018-01-19,13:40:00,7.76,7.77,7.76,7.75,441.0,0.0,0.0,7.752,7.747,7.757,377.4,378.0,422.78,0.02
17,2018-01-19,13:35:00,7.75,7.76,7.76,7.75,697.0,0.01,0.13,7.75,7.745,7.7575,372.6,368.0,430.28,0.03
18,2018-01-19,13:30:00,7.74,7.76,7.75,7.74,269.0,0.01,0.13,7.746,7.744,7.7585,292.0,307.2,417.73,0.01
19,2018-01-19,13:25:00,7.75,7.75,7.74,7.74,313.0,-0.01,-0.13,7.744,7.743,7.76,288.8,339.25,455.63,0.01
20,2018-01-19,13:20:00,7.75,7.76,7.75,7.74,167.0,0.0,0.0,7.744,7.745,7.763,306.0,342.75,603.33,0.01
21,2018-01-19,13:15:00,7.74,7.75,7.75,7.74,417.0,0.01,0.13,7.742,7.746,7.7635,378.6,384.15,617.53,0.02
22,2018-01-19,13:10:00,7.74,7.75,7.74,7.74,294.0,0.0,0.0,7.74,7.748,7.764,363.4,380.55,623.7,0.01
23,2018-01-19,13:05:00,7.74,7.75,7.74,7.74,253.0,0.0,0.0,7.742,7.752,7.7655,322.4,405.05,711.4,0.01
24,2018-01-19,11:30:00,7.74,7.75,7.74,7.74,399.0,0.0,0.0,7.742,7.757,7.765,389.71,414.35,772.25,0.02
25,2018-01-19,11:25:00,7.74,7.74,7.74,7.72,530.0,0.0,0.0,7.746,7.762,7.7655,379.51,475.75,822.0,0.02
26,2018-01-19,11:20:00,7.75,7.75,7.74,7.73,341.0,-0.01,-0.13,7.75,7.767,7.7655,389.71,467.55,863.35,0.01
27,2018-01-19,11:15:00,7.74,7.75,7.75,7.74,89.0,0.01,0.13,7.756,7.77,7.765,397.71,492.55,896.95,0.0
28,2018-01-19,11:10:00,7.76,7.76,7.74,7.74,589.53,-0.02,-0.26,7.762,7.773,7.761,487.71,528.25,943.11,0.03
29,2018-01-19,11:05:00,7.76,7.77,7.76,7.76,348.0,0.0,0.0,7.772,7.777,7.7585,439.0,572.0,961.64,0.02
30,2018-01-19,11:00:00,7.77,7.77,7.76,7.75,581.0,-0.01,-0.13,7.778,7.781,7.7555,572.0,863.9,988.36,0.03
31,2018-01-19,10:55:00,7.78,7.78,7.77,7.77,381.0,-0.01,-0.13,7.784,7.781,7.752,545.4,850.9,987.54,0.02
32,2018-01-19,10:50:00,7.79,7.8,7.78,7.78,539.0,-0.01,-0.13,7.784,7.78,7.7485,587.4,866.85,1019.29,0.02
33,2018-01-19,10:45:00,7.79,7.8,7.79,7.79,346.0,0.0,0.0,7.784,7.779,7.745,568.8,1017.75,1027.01,0.02
34,2018-01-19,10:40:00,7.79,7.8,7.79,7.79,1013.0,0.0,0.0,7.782,7.773,7.7395,705.0,1130.15,1021.61,0.04
35,2018-01-19,10:35:00,7.77,7.79,7.79,7.77,448.0,0.02,0.26,7.784,7.769,7.7335,1155.8,1168.25,989.14,0.02
36,2018-01-19,10:30:00,7.77,7.78,7.77,7.77,591.0,0.0,0.0,7.778,7.764,7.728,1156.4,1259.15,981.74,0.03
37,2018-01-19,10:25:00,7.79,7.79,7.78,7.77,446.0,-0.01,-0.13,7.776,7.76,7.723,1146.29,1301.35,983.05,0.02
38,2018-01-19,10:20:00,7.79,7.8,7.78,7.78,1027.0,-0.01,-0.13,7.774,7.749,7.7185,1466.69,1357.98,965.22,0.04
39,2018-01-19,10:15:00,7.76,7.81,7.8,7.76,3267.0,0.04,0.52,7.764,7.74,7.714,1555.29,1351.28,924.85,0.14
40,2018-01-19,10:10:00,7.76,7.76,7.76,7.75,451.0,0.0,0.0,7.754,7.73,7.709,1180.69,1112.82,770.42,0.02
41,2018-01-19,10:05:00,7.77,7.77,7.76,7.7,540.47,-0.01,-0.13,7.75,7.723,7.7055,1361.89,1124.18,756.17,0.02
42,2018-01-19,10:00:00,7.73,7.77,7.77,7.69,2048.0,0.04,0.52,7.744,7.717,7.7025,1456.4,1171.73,743.79,0.09
43,2018-01-19,09:55:00,7.75,7.77,7.73,7.73,1470.0,-0.02,-0.26,7.724,7.711,7.699,1249.26,1036.27,646.32,0.06
44,2018-01-19,09:50:00,7.75,7.78,7.75,7.75,1394.0,0.0,0.0,7.716,7.706,7.6985,1147.26,913.07,616.69,0.06
45,2018-01-19,09:45:00,7.78,7.79,7.74,7.73,1357.0,-0.04,-0.51,7.706,7.698,7.696,1044.94,810.03,566.79,0.06
46,2018-01-19,09:40:00,7.67,7.76,7.73,7.64,1013.0,0.06,0.78,7.696,7.692,7.693,886.46,704.33,508.74,0.04
47,2018-01-19,09:35:00,7.69,7.69,7.67,7.62,1012.28,-0.02,-0.26,7.69,7.686,7.69,887.06,664.75,462.39,0.04
48,2018-01-18,15:00:00,7.7,7.7,7.69,7.68,960.0,-0.01,-0.13,7.698,7.688,7.69,823.28,572.46,419.08,0.04
49,2018-01-18,14:55:00,7.69,7.71,7.7,7.69,882.4,0.01,0.13,7.696,7.688,7.6885,678.88,498.42,378.43,0.04
50,2018-01-18,14:50:00,7.7,7.71,7.69,7.69,564.6,-0.01,-0.13,7.69,7.688,7.6875,575.12,428.02,343.63,0.02
51,2018-01-18,14:45:00,7.71,7.72,7.7,7.69,1016.0,-0.01,-0.13,7.688,7.688,7.6865,522.2,388.16,317.0,0.04
52,2018-01-18,14:40:00,7.68,7.71,7.71,7.67,693.4,0.03,0.39,7.682,7.688,7.6845,442.44,315.86,281.8,0.03
53,2018-01-18,14:35:00,7.67,7.68,7.68,7.66,238.0,0.01,0.13,7.678,7.687,7.682,321.64,256.38,261.48,0.01
